,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
96,KFC,3.6,1311.0,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
97,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
98,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
99,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, meal_delivery, meal_takeaway, point_of_interest
100,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
101,Subway,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
102,Herfy,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
103,برجر كاسل,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
104,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, bar, night_club, point_of_interest
105,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
106,McDonald's,3.7,2042.0,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
107,Subway,3.8,341.0,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
108,McDonald's,3.9,3568.0,46.794646,24.713222,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
109,Herfy,3.5,746.0,46.675,24.6755556,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
110,KFC,3.8,1219.0,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
111,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,lodging, restaurant, point_of_interest, food
112,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
113,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
114,Al Romansiah,4.2,9460.0,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
115,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
116,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
117,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
