,Name,Score,Category,Price_Range
1883,20. Fuchsia,9.0,Armenian,$
1884,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1885,22. Burger Boutique,9.0,Burgers,$
1886,23. Aleppo,9.0,Middle Eastern,$
1887,1. The California Burger,9.4,Burgers,$
1888,2. LPM,9.3,French,$$$
1889,3. Myazū,9.3,Japanese,$$$$
1890,4. Boga Superfoods,9.2,Sandwich Spot,$
1891,5. Signor Sassi,9.2,Italian,$$
1892,6. BLANCA,9.2,Pizza,$
1893,7. Flour & Firewood,9.2,Bakery,$
1894,8. مقصف Muqsaf 90,9.2,Breakfast,$
1895,9. Fawal Alafrah,9.1,Breakfast,$
1896,10. FISHFACE,9.1,Poke Restaurant,$$
1897,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1898,12. San Carlo Cicchetti,9.1,Italian,$
1899,13. Urth Caffé,9.1,Café,$$
1900,14. BACO,9.1,Asian,$
1901,15. TRIESTE,9.1,Café,$$$$
1902,16. PORTERHOUSE,9.0,Steakhouse,$
1903,17. ‏Ajam Coffee,9.0,Café,$
1904,18. Urth caffé,9.0,Food Court,$$$
1905,19. WAGYU,9.0,Burgers,$$
1906,20. Fuchsia,9.0,Armenian,$
1907,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1908,22. Burger Boutique,9.0,Burgers,$
1909,23. Aleppo,9.0,Middle Eastern,$
1910,1. Dunkin,9.5,Donuts,$
1911,2. Graph,9.3,Café,$
1912,3. شاهي وجباتي عويس,9.2,Food Truck,$
1913,4. Never Enough,9.2,Bakery,$
1914,5. Breddy,9.1,Bakery,$
1915,6. McDonald's,9.1,Fast Food,$
1916,7. JDN Cafe,9.0,Café,$
1917,1. Dunkin,9.5,Donuts,$
1918,2. Graph,9.3,Café,$
1919,3. شاهي وجباتي عويس,9.2,Food Truck,$
1920,4. Never Enough,9.2,Bakery,$
1921,5. Breddy,9.1,Bakery,$
1922,6. McDonald's,9.1,Fast Food,$
1923,7. JDN Cafe,9.0,Café,$
1924,1. Dunkin,9.5,Donuts,$
1925,2. Graph,9.3,Café,$
1926,3. شاهي وجباتي عويس,9.2,Food Truck,$
1927,4. Never Enough,9.2,Bakery,$
1928,5. Breddy,9.1,Bakery,$
1929,6. McDonald's,9.1,Fast Food,$
1930,7. JDN Cafe,9.0,Café,$
1931,1. Dunkin,9.5,Donuts,$
1932,2. Graph,9.3,Café,$
1933,3. شاهي وجباتي عويس,9.2,Food Truck,$
1934,4. Never Enough,9.2,Bakery,$
1935,5. Breddy,9.1,Bakery,$
1936,6. McDonald's,9.1,Fast Food,$
1937,7. JDN Cafe,9.0,Café,$
1938,1. Dunkin,9.5,Donuts,$
1939,2. Graph,9.3,Café,$
1940,3. شاهي وجباتي عويس,9.2,Food Truck,$
1941,4. Never Enough,9.2,Bakery,$
1942,5. Breddy,9.1,Bakery,$
1943,6. McDonald's,9.1,Fast Food,$
1944,7. JDN Cafe,9.0,Café,$
1945,1. Dunkin,9.5,Donuts,$
1946,2. Graph,9.3,Café,$
1947,3. شاهي وجباتي عويس,9.2,Food Truck,$
1948,4. Never Enough,9.2,Bakery,$
1949,5. Breddy,9.1,Bakery,$
1950,6. McDonald's,9.1,Fast Food,$
1951,7. JDN Cafe,9.0,Café,$
1952,1. Dunkin,9.5,Donuts,$
1953,2. Graph,9.3,Café,$
1954,3. شاهي وجباتي عويس,9.2,Food Truck,$
1955,4. Never Enough,9.2,Bakery,$
1956,5. Breddy,9.1,Bakery,$
1957,6. McDonald's,9.1,Fast Food,$
1958,7. JDN Cafe,9.0,Café,$
1959,1. Dunkin,9.5,Donuts,$
1960,2. Graph,9.3,Café,$
1961,3. شاهي وجباتي عويس,9.2,Food Truck,$
1962,4. Never Enough,9.2,Bakery,$
1963,5. Breddy,9.1,Bakery,$
1964,6. McDonald's,9.1,Fast Food,$
1965,7. JDN Cafe,9.0,Café,$
1966,1. Dunkin,9.5,Donuts,$
1967,2. Graph,9.3,Café,$
1968,3. شاهي وجباتي عويس,9.2,Food Truck,$
1969,4. Never Enough,9.2,Bakery,$
1970,5. Breddy,9.1,Bakery,$
1971,6. McDonald's,9.1,Fast Food,$
1972,7. JDN Cafe,9.0,Café,$
1973,1. Dunkin,9.5,Donuts,$
1974,2. Graph,9.3,Café,$
1975,3. شاهي وجباتي عويس,9.2,Food Truck,$
1976,4. Never Enough,9.2,Bakery,$
1977,5. Breddy,9.1,Bakery,$
1978,6. McDonald's,9.1,Fast Food,$
1979,7. JDN Cafe,9.0,Café,$
1980,1. Myazū,9.3,Japanese,$$$$
1981,2. Marble Cuisine,9.2,Steakhouse,$$$$
1982,3. Copper,9.0,Steakhouse,$$$$
1983,4. PORTERHOUSE,9.0,Steakhouse,$$$$
1984,1. Myazū,9.3,Japanese,$$$$
1985,2. Marble Cuisine,9.2,Steakhouse,$$$$
1986,3. Copper,9.0,Steakhouse,$$$$
1987,4. PORTERHOUSE,9.0,Steakhouse,$$$$
1988,1. Myazū,9.3,Japanese,$$$$
1989,2. Marble Cuisine,9.2,Steakhouse,$$$$
1990,3. Copper,9.0,Steakhouse,$$$$
1991,4. PORTERHOUSE,9.0,Steakhouse,$$$$
1992,1. Myazū,9.3,Japanese,$$$$
1993,2. Marble Cuisine,9.2,Steakhouse,$$$$
1994,3. Copper,9.0,Steakhouse,$$$$
1995,4. PORTERHOUSE,9.0,Steakhouse,$$$$
1996,1. Myazū,9.3,Japanese,$$$$
1997,2. Marble Cuisine,9.2,Steakhouse,$$$$
1998,3. Copper,9.0,Steakhouse,$$$$
1999,4. PORTERHOUSE,9.0,Steakhouse,$$$$
2000,1. Myazū,9.3,Japanese,$$$$
2001,2. Marble Cuisine,9.2,Steakhouse,$$$$
2002,3. Copper,9.0,Steakhouse,$$$$
2003,4. PORTERHOUSE,9.0,Steakhouse,$$$$
2004,1. Myazū,9.3,Japanese,$$$$
2005,2. Marble Cuisine,9.2,Steakhouse,$$$$
2006,3. Copper,9.0,Steakhouse,$$$$
2007,4. PORTERHOUSE,9.0,Steakhouse,$$$$
2008,1. Myazū,9.3,Japanese,$$$$
2009,2. Marble Cuisine,9.2,Steakhouse,$$$$
