,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
684,13. CLAY,9.1,Café,$,0,8
685,14. Boga,9.0,Sandwich Spot,$,0,27
686,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
687,16. Dunkin Donuts,9.0,Donuts,$,0,9
688,17. Dunkin' Donuts,9.0,Donuts,$,0,9
689,18. Dunkin Donuts,9.0,Donuts,$,0,9
690,1. WHJ CAFE,9.3,Café,$,0,8
691,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
692,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
693,4. AlNaqaa,9.1,Falafel,$,0,11
694,5. Dutch Brunch,9.1,Breakfast,$,0,5
695,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
696,7. Dunkin' Donuts,9.1,Donuts,$,0,9
697,8. Jathel,9.1,Café,$,0,8
698,9. Dunkin Dounts,9.0,Donuts,$,0,9
699,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
700,11. دوز كافيه,9.0,Café,$,0,8
701,12. Dunkin' Donuts,9.0,Donuts,$,0,9
702,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
703,14. Shawarma House,9.0,Middle Eastern,$,0,22
704,15. فلافل ثمار,9.0,Falafel,$,0,11
705,1. WHJ CAFE,9.3,Café,$,0,8
706,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
707,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
708,4. AlNaqaa,9.1,Falafel,$,0,11
709,5. Dutch Brunch,9.1,Breakfast,$,0,5
710,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
711,7. Dunkin' Donuts,9.1,Donuts,$,0,9
712,8. Jathel,9.1,Café,$,0,8
713,9. Dunkin Dounts,9.0,Donuts,$,0,9
714,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
715,11. دوز كافيه,9.0,Café,$,0,8
716,12. Dunkin' Donuts,9.0,Donuts,$,0,9
717,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
718,14. Shawarma House,9.0,Middle Eastern,$,0,22
719,15. فلافل ثمار,9.0,Falafel,$,0,11
